"species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy"
"Afranthidium schulthessii",38.924,-2.82,NA,2009,6,9,"C. Ornosa, F. Torres","C. Ornosa"
"Afranthidium carduele",38.924,-2.82,NA,2009,6,9,"C. Ornosa, F. Torres","C. Ornosa"
"Afranthidium schulthessii",36.163,-3.056,NA,2006,7,23,"J. Ortiz","C. Ornosa"
"Afranthidium schulthessii",37.157,-7.544,NA,2016,4,27,"T. Wood","G. Legoff"
"Afranthidium schulthessii",37.157,-7.544,NA,2017,4,23,"I. Cross","I. Cross"
"Afranthidium carduele",41.9,-6.736,NA,2018,7,25,"R. Andrade","G. Legoff"
"Afranthidium schulthessii",36.98,-3.123,NA,2015,5,22,"Online_Simon Oliver","Online_Simon Oliver"
"Afranthidium schulthessii",36.982,-3.127,NA,2015,6,2,"Online_Simon Oliver","Online_Simon Oliver"
"Afranthidium schulthessii",36.621,-4.5,NA,1978,4,15,"Online_G.e. Bohart","Online_T.l. Griswold 1995"
"Afranthidium schulthessii",36.621,-4.5,NA,1978,4,10,"Online_G.e. Bohart","Online_T.l. Griswold 1995"
"Afranthidium schulthessii",36.621,-4.5,NA,1978,4,25,"Online_G.e. Bohart","Online_T.l. Griswold 1995"
"Afranthidium schulthessii",36.621,-4.5,NA,1978,5,4,"Online_G.e. Bohart","Online_T.l. Griswold 1995"
"Afranthidium schulthessii",37.711,-2.166,NA,1974,6,3,NA,"Online_T.l. Griswold 1995"
"Afranthidium schulthessii",40.252,-0.752,NA,2021,7,13,"Online_Rafael_carbonell","Online_Rafael_carbonell"
"Aglaoapis tridentata",40.421,-1.998,NA,1971,NA,NA,NA,"Pasteels J"
"Aglaoapis tridentata",40.2,-8.41,NA,1989,NA,NA,NA,NA
"Aglaoapis tridentata",40.14,-8.86,NA,1989,NA,NA,NA,NA
"Aglaoapis tridentata",41.27,-8.08,NA,1989,NA,NA,NA,NA
"Aglaoapis tridentata",40.598,-3.072,NA,2019,7,20,"T. Wood","T. Wood"
"Amegilla albigena",37.247,-6.429,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.124,-6.507,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.331,-6.668,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.405,-6.681,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.214,-6.372,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.29,-6.433,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.282,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.233,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.235,-6.169,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.218,-6.304,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.249,-6.661,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.292,-6.752,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.291,-6.223,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.239,-6.281,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.288,-6.675,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",37.195,-6.761,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.29,-6.433,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.195,-6.761,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.288,-6.675,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.405,-6.681,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.292,-6.752,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.247,-6.429,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.291,-6.223,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.124,-6.507,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.218,-6.304,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.214,-6.372,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.249,-6.661,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.235,-6.169,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.282,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.331,-6.668,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.239,-6.281,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla fasciata",37.233,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.124,-6.507,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.218,-6.304,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.249,-6.661,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.292,-6.752,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.405,-6.681,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.331,-6.668,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.282,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.288,-6.675,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.195,-6.761,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.29,-6.433,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.235,-6.169,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.291,-6.223,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.214,-6.372,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.233,-6.555,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.247,-6.429,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla quadrifasciata",37.239,-6.281,NA,2015,NA,NA,"Curro Molina","Oscar Aguado"
"Amegilla albigena",39.84,-8.644,NA,2019,8,11,"H. Gaspar, P.Ferreira","H. Gaspar"
"Amegilla quadrifasciata",39.942,-8.581,NA,2017,8,8,"H. Gaspar","H. Gaspar"
"Amegilla albigena",40.244,-5.104,NA,1987,7,24,NA,NA
"Amegilla albigena",40.409,-5.416,NA,1987,8,19,NA,NA
"Amegilla magnilabris",40.559,-5.114,NA,1987,7,21,NA,NA
"Amegilla albigena",40.12,-5.464,NA,1988,8,20,NA,NA
"Amegilla quadrifasciata",40.12,-5.464,NA,1988,7,20,NA,NA
"Amegilla andresi",36.818,-2.248,NA,2020,3,6,"A. Trillo","F.J. Ortiz-Sánchez"
"Amegilla quadrifasciata",40.445,-3.739,NA,2015,6,5,"C. Azpiazu","O. Aguado"
"Amegilla quadrifasciata",39.672,-3.181,NA,2015,7,28,"C. Azpiazu","O. Aguado"
"Amegilla quadrifasciata",40.317,-3.486,NA,2015,5,12,"C. Azpiazu","O. Aguado"
"Amegilla albigena",36.759,-4.04,NA,2018,4,NA,"O. Aguado","O. Aguado"
"Amegilla quadrifasciata",39.621,2.748,NA,2018,8,24,"Joan Díaz Calafat","Joan Díaz Calafat"
"Amegilla quadrifasciata",39.546,3.155,NA,2018,8,5,"Joan Díaz Calafat","Joan Díaz Calafat"
"Amegilla quadrifasciata",39.621,2.749,NA,2016,5,6,"Joan Díaz Calafat","Joan Díaz Calafat"
