"","species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy","sex"
"7","Xylocopa violacea",38.866343,0.005761,"Apidae",2018,1,4,"Katja Schulz",NA,NA
"13","Bombus lucorum",42.33,2.59,"Apidae",2018,1,23,"https://natusfera.gbif.es/users/2179",NA,NA
"16","Apis mellifera",43.041777,-9.161154,"Apidae",2018,1,28,"Álex Verdía",NA,NA
"22","Apis mellifera",41.38,2.04,"Apidae",2018,1,1,"https://natusfera.gbif.es/users/1731",NA,NA
"38","Bombus terrestris",37.350185,-6.034832,"Apidae",2018,2,13,"Juan Antonio Sánchez",NA,NA
"40","Apis mellifera",38.909163,-0.229156,"Apidae",2018,2,8,"supergan",NA,NA
"43","Xylocopa violacea",41.86,2.66,"Apidae",2018,3,2,"https://natusfera.gbif.es/users/2171",NA,NA
"46","Apis mellifera",40.449754,-3.663377,"Apidae",2018,3,25,"Agustin de la Fuente",NA,NA
"49","Bombus pascuorum",43.272162,-2.931227,"Apidae",2018,3,21,"zarapito",NA,NA
"51","Apis mellifera",36.723057,-4.411389,"Apidae",2018,3,18,"Bastiaan Notebaert",NA,NA
"52","Apis mellifera",41.71,2.24,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/3394",NA,NA
"53","Apis mellifera",37.383392,-5.990556,"Apidae",2018,4,16,"Anita Shaul",NA,NA
"54","Apis mellifera",41.45,2.25,"Apidae",2018,4,15,"https://natusfera.gbif.es/users/672",NA,NA
"55","Apis mellifera",36.71,-6.12,"Apidae",2018,4,27,"https://natusfera.gbif.es/users/3573",NA,NA
"56","Xylocopa violacea",41.36,1.96,"Apidae",2018,4,19,"https://natusfera.gbif.es/users/2319",NA,NA
"57","Apis mellifera",36.43,-6.11,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/3178",NA,NA
"58","Xylocopa violacea",36.4,-6.15,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/2374",NA,NA
"59","Apis mellifera",36.44,-6.15,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/3331",NA,NA
"60","Bombus terrestris",41.42,1.97,"Apidae",2018,4,28,"https://natusfera.gbif.es/users/2915",NA,NA
"61","Apis mellifera",41.4,1.9,"Apidae",2018,4,30,"https://natusfera.gbif.es/users/3671",NA,NA
"62","Xylocopa violacea",40.66,-3.75,"Apidae",2018,4,2,"https://natusfera.gbif.es/users/2369",NA,NA
"63","Bombus terrestris",41.45,2.25,"Apidae",2018,4,15,"https://natusfera.gbif.es/users/672",NA,NA
"64","Apis mellifera",42.680612,-4.82395,"Apidae",2018,4,23,"Cesar Pollo",NA,NA
"65","Xylocopa violacea",41.420282,1.938714,"Apidae",2018,4,21,"oriolusoriolus",NA,NA
"66","Xylocopa violacea",41.33,2.07,"Apidae",2018,4,18,"https://natusfera.gbif.es/users/3212",NA,NA
"68","Apis mellifera",36.780084,-2.602912,"Apidae",2018,4,30,"adriacuarista",NA,NA
"69","Apis mellifera",36.781053,-2.604673,"Apidae",2018,4,27,"adriacuarista",NA,NA
"70","Bombus terrestris",41.4,1.89,"Apidae",2018,4,27,"https://natusfera.gbif.es/users/3671",NA,NA
"71","Apis mellifera",41.38,2.04,"Apidae",2018,4,15,"https://natusfera.gbif.es/users/3069",NA,NA
"72","Bombus terrestris",43.51318,-8.211846,"Apidae",2018,5,22,"José Carlos García Fidalgo",NA,NA
"79","Apis mellifera",37.129939,-3.532092,"Apidae",2018,5,4,"Anita Shaul",NA,NA
"84","Apis mellifera",36.839444,-2.458611,"Apidae",2018,5,9,"n15ayn18a",NA,NA
"92","Apis mellifera",40.507355,0.325816,"Apidae",2018,5,1,"luciadefv",NA,NA
"104","Apis mellifera",39.829327,-6.224751,"Apidae",2018,5,8,"-658151596",NA,NA
"107","Bombus terrestris",42.182178,2.978295,"Apidae",2018,5,31,"mammal",NA,NA
"109","Apis mellifera",41.38423,2.152259,"Apidae",2018,6,24,"John Palmer",NA,NA
"110","Bombus terrestris",41.634754,2.704791,"Apidae",2018,6,12,"ant-toniscla",NA,NA
"111","Bombus lucorum",38.909163,-0.229156,"Apidae",2018,6,9,"supergan",NA,NA
"112","Apis mellifera",38.909163,-0.229156,"Apidae",2018,6,9,"supergan",NA,NA
"113","Xylocopa violacea",40.251923,-5.678876,"Apidae",2018,6,12,"-658151596",NA,NA
"114","Apis mellifera",36.184324,-5.954338,"Apidae",2018,6,9,"Yeray Seminario",NA,NA
"115","Apis mellifera",43.058613,-7.613333,"Apidae",2018,6,28,"castedo",NA,NA
"116","Xylocopa violacea",42.477533,-8.902729,"Apidae",2018,7,9,"Yago Carreño",NA,NA
"117","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,7,28,"-2057092445",NA,NA
"118","Apis mellifera",38.842925,-0.115694,"Apidae",2018,7,5,"Donna's Utopia",NA,NA
"119","Apis mellifera",37.53285,-6.149108,"Apidae",2018,7,16,"José Ignacio Márquez Corro",NA,NA
"122","Bombus terrestris",41.129353,1.308155,"Apidae",2018,8,1,"albertcardona",NA,NA
"123","Apis mellifera",40.87509,0.398905,"Apidae",2018,8,20,"John Palmer",NA,NA
"124","Bombus lapidarius",42.078445,-8.862039,"Apidae",2018,8,19,"790597811",NA,NA
"125","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,8,17,"-2057092445",NA,NA
"126","Bombus pascuorum",41.654831,2.688202,"Apidae",2018,8,5,"xaubet",NA,NA
"127","Xylocopa violacea",39.783215,2.787094,"Apidae",2018,8,3,"-2057092445",NA,NA
"128","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,8,10,"-2057092445",NA,NA
"129","Xylocopa violacea",39.71138,2.62363,"Apidae",2018,8,3,"-2057092445",NA,NA
"130","Apis mellifera",39.71138,2.62363,"Apidae",2018,8,3,"-2057092445",NA,NA
"131","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,8,11,"-2057092445",NA,NA
"132","Bombus pascuorum",43.271561,-5.591093,"Apidae",2018,8,10,"daniel_singu",NA,NA
"133","Xylocopa violacea",39.322739,2.996173,"Apidae",2018,8,16,"-2057092445",NA,NA
"134","Bombus pascuorum",36.983346,-3.111721,"Apidae",2018,9,5,"David Urry",NA,NA
"135","Xylocopa violacea",42.833458,-2.673182,"Apidae",2018,9,29,"garnikaisabel",NA,NA
"136","Apis mellifera",41.384337,2.175622,"Apidae",2018,9,14,"Gerardo Chavarri",NA,NA
"137","Xylocopa violacea",36.981623,-3.113997,"Apidae",2018,9,4,"David Urry",NA,NA
"138","Xylocopa violacea",42.370436,-8.735986,"Apidae",2018,10,4,"ovillegas",NA,NA
"139","Apis mellifera",39.683628,-0.281528,"Apidae",2018,10,7,"juanvi",NA,NA
"140","Apis mellifera",38.87,-0.08,"Apidae",2017,1,5,"https://natusfera.gbif.es/users/259",NA,NA
"141","Apis mellifera",38.7,-0.48,"Apidae",2017,1,24,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"142","Apis mellifera",38.21,-3.95,"Apidae",2017,1,9,"https://natusfera.gbif.es/users/2369",NA,NA
"143","Apis mellifera",41.41,2.17,"Apidae",2017,2,25,"https://natusfera.gbif.es/users/148",NA,NA
"144","Apis mellifera",36.76356,-4.44875,"Apidae",2017,2,26,"Daniel Capilla",NA,NA
"146","Xylocopa violacea",39.467238,-0.339675,"Apidae",2017,2,21,"David Lozano Vázquez",NA,NA
"147","Apis mellifera",38.66,-0.54,"Apidae",2017,3,26,"J. L. CantÃ³ Corchado","J. L. CantÃ³ Corchado",NA
"148","Apis mellifera",38.74,-0.77,"Apidae",2017,3,21,"jose manuel aragoneses garcia","jose manuel aragoneses garcia",NA
"149","Apis mellifera",41.04,0.73,"Apidae",2017,3,18,"https://natusfera.gbif.es/users/1731",NA,NA
"150","Apis mellifera",37.763278,-6.200133,"Apidae",2017,3,5,"Javier Solís",NA,NA
"151","Xylocopa violacea",40.85,-3.7,"Apidae",2017,3,19,"https://natusfera.gbif.es/users/259",NA,NA
"153","Apis mellifera",36.839156,-4.643891,"Apidae",2017,3,8,"Lies Van Rompaey",NA,NA
"154","Melecta albifrons",39.744156,3.431425,"Apidae",2017,3,20,"1782348037",NA,NA
"156","Xylocopa violacea",38.08485,-6.422796,"Apidae",2017,4,4,"-742136095",NA,NA
"158","Bombus terrestris",42.385414,-2.630555,"Apidae",2017,4,29,"p_alonso",NA,NA
"160","Apis mellifera",41.36,2.16,"Apidae",2017,4,2,"https://natusfera.gbif.es/users/1369",NA,NA
"161","Xylocopa cantabrita",42.486235,-6.459843,"Apidae",2017,4,9,"Cesar Pollo",NA,NA
"163","Xylocopa iris",40.78,-3.79,"Apidae",2017,4,15,"https://natusfera.gbif.es/users/2030",NA,NA
"164","Apis mellifera",41.4064,1.920766,"Apidae",2017,4,23,"oriolusoriolus",NA,NA
"165","Xylocopa violacea",37.133709,-6.479653,"Apidae",2017,4,11,"Susanne Vogel",NA,NA
"166","Bombus terrestris",41.39,2.06,"Apidae",2017,4,2,"https://natusfera.gbif.es/users/220",NA,NA
"167","Nomada nobilis",40.78,-3.8,"Apidae",2017,4,14,"https://natusfera.gbif.es/users/2030",NA,NA
"168","Apis mellifera",41.39,2.05,"Apidae",2017,4,2,"https://natusfera.gbif.es/users/220",NA,NA
"169","Xylocopa violacea",39.63,2.63,"Apidae",2017,4,8,"https://natusfera.gbif.es/users/585",NA,NA
"170","Apis mellifera",40.5,-4.23,"Apidae",2017,4,7,"https://natusfera.gbif.es/users/1429",NA,NA
"171","Apis mellifera",40.41,-3.69,"Apidae",2017,4,6,"https://natusfera.gbif.es/users/1429",NA,NA
"172","Apis mellifera",40.5,-4.23,"Apidae",2017,4,7,"https://natusfera.gbif.es/users/1429",NA,NA
